m#node	C#node2vec-0	C#node2vec-1	C#node2vec-2	C#node2vec-3	C#node2vec-4	C#node2vec-5	C#node2vec-6	C#node2vec-7	C#node2vec-8	C#node2vec-9	C#node2vec-10	C#node2vec-11	C#node2vec-12	C#node2vec-13	C#node2vec-14	C#node2vec-15	C#node2vec-16	C#node2vec-17	C#node2vec-18	C#node2vec-19	C#node2vec-20	C#node2vec-21	C#node2vec-22	C#node2vec-23	C#node2vec-24	C#node2vec-25	C#node2vec-26	C#node2vec-27	C#node2vec-28	C#node2vec-29	C#node2vec-30	C#node2vec-31	cD#class
Ådne Kverneland	-1.2304149	0.31889138	0.22078387	1.0770272	1.2825363	-0.15162475	1.0580721	0.9021071	-0.11139352	1.1328557	0.84736335	-0.8971271	-0.70886844	-0.55842924	0.056532685	1.1500133	-0.14785407	-0.7980121	1.839469	0.41656965	-0.831361	-0.25036576	1.1958735	-0.89646894	-0.66240984	1.2153234	-1.4447104	0.55970323	-0.5386408	-0.16183163	-0.85856104	-0.076850586	1
Jan Einar Greve	-1.2310086	0.28620481	0.20512415	1.0421588	1.2787431	-0.09510815	1.097994	0.88467014	-0.15450436	1.2015291	0.8457868	-0.89841855	-0.7272055	-0.5560538	0.117351145	1.118808	-0.1677053	-0.7775611	1.817716	0.41772467	-0.8303746	-0.28339437	1.2214879	-0.87173796	-0.6412361	1.2089019	-1.4399403	0.54621184	-0.6054954	-0.1489693	-0.87726146	-0.0335877	1
Lars Gustaf Ander	-1.2079055	0.30291143	0.22170553	1.0920649	1.302876	-0.08726222	1.0937036	0.86113775	-0.07911262	1.2059175	0.88204515	-0.90163493	-0.70039874	-0.56418854	0.05844491	1.1832502	-0.16688682	-0.80313563	1.8204521	0.4174328	-0.82852125	-0.25978985	1.226307	-0.8681579	-0.67338747	1.2365891	-1.3937455	0.5617004	-0.5640448	-0.13833365	-0.87156904	-0.06657461	1
Lena Kristina Samuelsson	-1.2061858	0.30579388	0.17528455	1.081112	1.2691144	-0.07738234	1.0684326	0.90955955	-0.13211511	1.1458306	0.86737627	-0.88624185	-0.71219236	-0.50949246	0.05601331	1.1161332	-0.17372543	-0.8164493	1.833531	0.4141883	-0.8159861	-0.27090248	1.2045362	-0.8735324	-0.6380504	1.2072531	-1.3662782	0.55786	-0.52927893	-0.114185005	-0.8350427	-0.07572419	2
Rolv Erik Ryssdal	-1.2439462	0.35655275	0.2296546	1.0862607	1.2605126	-0.060535893	1.0202553	0.8869045	-0.11024471	1.1343974	0.87755	-0.9001089	-0.68970674	-0.56912726	0.040253375	1.176348	-0.11724252	-0.7990473	1.8331037	0.39727044	-0.8242721	-0.26585832	1.2192479	-0.9074461	-0.6481011	1.2019175	-1.402187	0.5545627	-0.5433866	-0.0979938	-0.8553266	-0.061562695	1
Ruth Elisabeth Ropstad	-1.224344	0.28222343	0.22739992	1.0555911	1.2825469	-0.10546057	1.0655363	0.9382594	-0.09896093	1.1152296	0.86485356	-0.87129205	-0.6843007	-0.55955297	0.0033630908	1.1717085	-0.14632317	-0.8072139	1.804081	0.44709054	-0.81098324	-0.23162368	1.2056799	-0.9104172	-0.644472	1.1962246	-1.4125849	0.56083065	-0.5314875	-0.15465039	-0.8886615	-0.037824653	2
Åge Jan Danielsen	-0.512999	-0.9542981	0.18361315	0.45327398	1.5942459	-0.139833	0.42258003	0.4553416	0.07727368	-0.5163185	0.19108677	-0.12545827	1.0485469	-0.7902097	0.12797728	-1.1565099	1.0094888	-0.9369585	1.2216842	1.0596857	1.1144464	0.7743979	1.2630776	-1.1899277	-0.12786111	1.4116664	-1.1127977	-1.1358453	0.5812835	-0.19506772	-1.1316963	-0.8660715	1
Grethe Høiland	-0.5706609	-0.9739661	0.20598994	0.3381603	1.1326622	-0.29168802	0.54357797	0.08575804	-0.26650527	-0.3452914	0.18459526	-0.4420757	0.6110654	-0.6267235	0.15876478	-1.0418242	1.2522064	-0.8916588	0.9477543	0.69005907	1.1188438	0.77478063	0.9510876	-0.7598671	-0.3955727	1.0712315	-0.87021595	-0.88658524	0.43813446	-0.2821699	-1.1196969	-0.52477676	2
Ingebrigt Steen Jensen	-0.6434711	-0.976787	0.1921028	0.36577594	1.6806154	-0.16405864	0.4636591	0.50038797	0.037942592	-0.5715334	0.15281041	-0.18729171	1.1174062	-0.7715855	0.05560115	-1.1975331	1.1399746	-0.8021585	1.2427328	1.0421242	1.1946464	0.84893966	1.2354648	-1.1611603	-0.21967109	1.2757002	-1.2319351	-1.1390553	0.5316512	-0.24647729	-1.1155854	-0.8015144	1
Randi Helene Røed	-0.6383859	-0.96658194	0.16723628	0.3886702	1.6340529	-0.307336	0.40510926	0.45009547	-0.004040325	-0.48417962	0.26421195	-0.11616844	1.2243522	-0.8654059	0.010103284	-1.1408911	1.0690385	-0.80347925	1.2833787	0.9964826	1.2488319	0.9565962	1.3226734	-1.3148626	-0.24780199	1.4095967	-1.2230655	-1.074617	0.49308842	-0.32904306	-1.1454456	-0.8207284	2
Åge Thoresen	0.22893962	-0.35197732	0.39887798	0.4201802	1.780346	-0.011284976	-0.3736017	0.9552132	-1.9735366	0.4993789	0.8289585	-1.0496056	-0.4016049	0.41050863	1.1399392	-0.69709283	0.13562018	0.3686522	0.1472257	1.1226488	-0.9043522	0.56299084	-0.020886207	-0.87834495	0.10798849	-0.1275773	-1.675678	-0.34747997	-0.5053077	-0.27329767	-0.59020525	-0.5732212	1
Alvhild Hedstein	0.26964515	-0.2812102	0.3537783	0.3377653	1.8549078	-0.0710627	-0.32658908	1.060863	-1.9723471	0.3919861	0.82164013	-1.1640669	-0.40020448	0.3962028	1.1775314	-0.7100501	0.13864508	0.40418714	0.19361915	1.161456	-0.8001797	0.5726206	0.0019413532	-0.95782256	0.084030494	-0.13273796	-1.6816041	-0.4453717	-0.4901482	-0.3005534	-0.47977078	-0.64767027	2
Bente Lie Nilsen	0.17259745	-0.2475557	0.35978544	0.28038794	1.8002412	0.08265453	-0.23723446	1.0139165	-2.0003362	0.4217429	0.7746619	-1.1013175	-0.43964255	0.39962244	1.0954789	-0.6747613	0.16242039	0.31941003	-0.0024389555	1.0593303	-0.8674275	0.58538413	0.061317157	-0.90624744	0.05008527	-0.08228907	-1.6883142	-0.3622524	-0.464941	-0.29207587	-0.5408661	-0.6136303	2
Cato Andreas Holmsen	0.28711292	-0.26672179	0.32876402	-0.25324512	1.558934	0.2181816	-0.34158805	0.97832805	-1.7772914	0.5183392	0.68104804	-1.0895844	-0.491841	0.3051548	0.7830931	-0.71665484	0.21645172	0.28832856	0.21050617	0.6915798	-1.0064871	0.8290043	0.44807178	-0.88229746	-0.31265768	0.045448057	-1.3499408	-0.6554571	-0.20464447	-0.49192	-0.6647226	-0.59842795	1
Hilde Vatne	0.22626607	-0.36617914	0.29527652	0.19038804	1.5732301	-0.27823064	-0.67571294	1.0618913	-1.7302644	0.66654116	0.58618647	-1.0415275	-0.72857666	0.2992554	1.3328806	-0.97128123	0.11091029	0.054699294	0.0492862	1.2294996	-0.85726863	0.5053057	0.038230646	-0.8687933	-0.102112755	0.32526508	-1.4376523	-0.353124	-0.5545991	-0.5035563	-0.039840598	-0.697626	2
Jan Magne Borgen	0.12881222	-0.38349715	0.44982475	0.3581116	1.799927	-0.07700175	-0.29567587	1.0431422	-1.946207	0.5421629	0.8037747	-1.1046016	-0.5014098	0.3705806	1.112278	-0.7024029	0.100990824	0.4159664	0.16374569	1.147982	-0.9250227	0.55168515	0.02285856	-0.8480243	0.086682096	-0.07004958	-1.7117797	-0.36721852	-0.42388844	-0.4032299	-0.42943177	-0.68480146	1
Jon Reidar Gundersen	0.1236306	-0.32186133	0.379108	0.19577454	1.6891316	-0.04125737	-0.3218124	1.0339282	-1.957361	0.40697512	0.7807817	-1.0706493	-0.46097964	0.40856403	1.0749241	-0.6491772	0.09188158	0.36339986	0.07473253	1.1857321	-0.9460596	0.61122155	0.06361885	-0.9327162	0.07211251	-0.067638606	-1.6648628	-0.3510575	-0.40827653	-0.30004326	-0.48126486	-0.7128455	1
Knut Hartvig Johannson	0.21777596	-0.40178958	0.32424065	0.36633414	1.8317304	-0.037629087	-0.27959773	0.9389182	-1.9748642	0.57486665	0.81840175	-1.0084997	-0.54628956	0.33672965	1.2182462	-0.68110526	0.17295456	0.30257738	0.21281895	1.1622788	-0.96450114	0.5070498	-0.024434434	-0.7258065	0.042065408	-0.07235909	-1.6627519	-0.31393778	-0.44711176	-0.38721287	-0.5934563	-0.65524626	1
Sverre Leiro	0.18404081	-0.3011835	0.31192282	0.29966897	1.7966808	-0.021968534	-0.29879025	1.0273277	-2.0038166	0.41357476	0.8145042	-1.0697114	-0.5781857	0.3788585	1.1510737	-0.7345853	0.1102756	0.39020377	0.0710404	1.0197284	-0.82200927	0.5472132	0.06159055	-0.77825665	0.07410482	-0.061632168	-1.6916064	-0.3242219	-0.45655447	-0.4425543	-0.39587578	-0.6644864	1
Sverre Lorentzen	0.20297974	-0.33199817	0.39548323	0.3432274	1.730439	0.0137037225	-0.3001995	1.0608187	-1.8700383	0.49949402	0.83544177	-1.0310643	-0.491155	0.376069	1.182683	-0.65675765	0.094920635	0.35612288	0.0833756	1.1099287	-0.90892047	0.53242505	-0.026457494	-0.78802484	0.032174524	-0.11815637	-1.6839207	-0.37141493	-0.363084	-0.42080966	-0.57705295	-0.71690685	1
Agnar Gravdal	0.3678017	0.6424998	-0.4684377	0.34434927	0.010340066	-0.64468396	0.976572	0.5183365	-0.10409031	1.0787027	1.413054	-0.30124068	-0.566452	-0.07874538	-1.480481	-0.17311424	0.5322244	-0.3128867	-0.37544578	0.8382537	0.22824325	0.6897662	0.68535864	-0.71031237	-0.915734	0.4967052	-2.2701685	-0.19486935	-0.7842173	1.2767072	-0.6641885	-0.01671246	1
Anette Sofie Olsen	0.45404366	0.5144548	-0.22558695	0.19071597	0.04411895	-0.685188	0.63388336	0.3246903	-0.14213072	1.4639275	1.4764969	-0.3716008	-0.5907617	0.21891506	-1.4094778	-0.27297238	0.5828975	-0.45167017	-0.34097978	0.54715335	-0.07934316	0.19508563	0.7594532	-1.0774571	-1.0474712	0.5153353	-2.22106	-0.2775458	-0.5496602	0.90298784	-0.32131398	-0.06940375	2
