m#node	C#node2vec-0	C#node2vec-1	C#node2vec-2	C#node2vec-3	C#node2vec-4	C#node2vec-5	C#node2vec-6	C#node2vec-7	C#node2vec-8	C#node2vec-9	C#node2vec-10	C#node2vec-11	C#node2vec-12	C#node2vec-13	C#node2vec-14	C#node2vec-15	C#node2vec-16	C#node2vec-17	C#node2vec-18	C#node2vec-19	C#node2vec-20	C#node2vec-21	C#node2vec-22	C#node2vec-23	C#node2vec-24	C#node2vec-25	C#node2vec-26	C#node2vec-27	C#node2vec-28	C#node2vec-29	C#node2vec-30	C#node2vec-31	cD#class
Bruno Grohar	0.6722638	-0.8957682	-0.5356326	0.016430544	0.6310061	-0.49601752	-0.68593997	-0.087969765	-0.15897867	-0.36451375	-0.6548421	0.09239228	0.9882045	-0.2658503	0.23640253	0.067879066	-0.40307787	0.9046316	-0.09276793	0.7401398	0.78588814	-0.28094235	0.5323403	-0.43823734	0.6519367	-0.05912666	-0.1943174	0.03792465	-0.25860777	-0.010135816	0.110256046	0.35142082	1
Boštjan Brumen	0.45593336	-0.12448607	-0.5423025	-0.5783809	0.26661795	-0.035064314	0.16419598	-0.2805787	-0.25504825	-0.36962914	-0.16205704	-0.7349586	-0.2094247	0.00072135095	0.865972	-0.10333632	0.102186255	-0.110776715	-0.19197637	0.86347705	0.5608106	0.8962899	1.4913069	0.58662826	0.2151709	0.36129808	-0.16080128	-0.27501675	-0.27861363	-0.17721	0.13862935	0.6573742	5
Vlado Horvat	0.007884517	-0.013673246	-0.019240752	-0.004707575	-0.00304804	-0.00744693	0.010771617	0.02734182	-0.017572582	-0.029679462	0.023085311	0.024780497	0.029206738	-0.025946066	-0.0025522485	0.027346559	0.030932538	0.026330993	-0.017285794	-0.0011076406	-0.01931148	-0.020362444	0.002746947	-0.019282587	-0.026948921	-0.015036732	0.015481375	0.021807328	0.01767575	0.002546817	0.021708928	0.023426533	1
Marko Vraničar	0.028229922	0.015915744	-0.0074937865	0.029231489	0.031012416	0.010086052	-0.0063338503	-0.020622231	0.023497961	0.002933681	0.023471892	0.0149552375	0.0055902973	-0.00888098	-0.015208699	0.03123609	0.012404628	-0.017671078	-0.010211967	0.026664399	0.0108153	-0.0006291419	-0.029265039	0.02154842	-0.0155342	0.002053246	-0.020236827	0.003163308	-0.015957817	0.012948342	0.02740354	0.0015044808	0
Mateja Kunstelj	0.50166464	-1.0630122	0.41586575	0.27339983	0.98183995	0.042198375	-0.6593607	-0.031525705	-0.34236816	-0.5041123	-0.29182443	0.06683572	0.8404724	-0.57387	-0.4355139	0.5106976	-0.7295559	1.2414756	0.28172293	0.3069364	0.23089834	-0.22557943	1.4067162	-0.60157514	0.738329	-0.40530494	-0.8106931	0.586547	-0.5826336	0.22794835	0.6238798	0.18523665	0
Igor Lesjak	0.0050859405	-0.9553062	-0.4625486	-0.21571986	0.12475902	0.75853384	-0.62512606	0.4814018	-0.06179158	-0.23481925	-0.50903636	-0.645786	-0.47858724	-0.6455702	-0.54030305	0.4650291	-0.26101077	0.40888447	0.009047502	0.18102276	1.5060312	1.2467846	-0.16423726	0.10172525	0.05595662	-0.8028097	-1.0390012	0.0012958163	-0.011767741	0.5886535	0.30835724	1.1977224	7
Peter Peer	0.06948501	0.07495461	-0.31541318	0.14611027	0.96758527	0.7910166	-0.66764635	0.19864897	-0.41270033	0.0645891	0.35102946	-0.17104246	0.17616697	-1.1701771	0.106134854	1.0590613	0.45146936	0.5247073	-0.4683334	1.0936913	0.89744365	0.8608937	-0.44103482	-0.085256726	-0.060676973	-0.37828514	-0.82754433	0.4650978	-0.14389952	0.1769324	-0.1762527	0.6236335	7
Matej Trampuš	0.080838606	-0.61389834	0.34445933	-0.41886273	-0.42511413	0.62735057	0.0821102	0.1177098	0.05721108	-0.59027797	0.23054026	-1.2452877	0.23538232	0.32885635	-0.511426	0.19660409	0.90923285	0.7443835	-0.1438699	0.117924936	1.6953491	1.4811229	0.21558014	-0.33146113	0.30443564	-0.772163	-1.5502498	0.77180505	0.15189911	0.4276659	0.9352571	0.6420182	1
Samo Vehovc	0.020669483	-0.0055337176	-0.008257106	-0.02413366	0.01638735	-0.029589176	-0.00031498075	-0.021531016	0.020030014	-0.0036879256	0.02235505	0.016436554	0.009086147	-0.016440988	-0.0063573197	-0.023954846	-0.028684817	-0.026843838	0.02097784	-0.002897106	-0.020827115	-0.00616093	0.011255093	0.00019032508	0.017415509	0.0035091043	-0.004984379	-0.013588697	0.012234755	-0.015388161	-0.021981023	0.029755726	0
Janez Žibert	0.47527394	-0.95134217	0.45113406	0.30673334	0.27996477	0.22520298	-0.6936743	0.36421785	-0.18057345	0.26572564	0.5151579	-0.64561695	-0.43730277	-0.8407922	0.29483268	0.8139066	0.45690024	0.4702065	0.5518601	0.7236294	1.1551502	0.52127707	0.43726197	0.2444869	0.6928396	0.97704095	0.49563643	-0.05928162	-0.3751307	0.06967192	0.25974432	1.07201	7
